timestamp,open,high,low,close,volume,date,signal,daily_return,strategy_return,fee,cumulative_market_returns,cumulative_strategy_returns,cumulative_fee,revenueRate
2023-01-01 00:00:00,4.536,4.579,4.483,4.536,350306.0,2023-01-01,0,,,0.0,,,0.0,
2023-01-01 04:00:00,4.537,4.569,4.468,4.506,238520.0,2023-01-01,0,-0.006613756613756516,-0.0,0.0,0.9933862433862435,0.0,0.0,0.0
2023-01-01 08:00:00,4.506,4.58,4.496,4.573,246832.3,2023-01-01,0,0.014869063470927646,0.0,0.0,1.0081569664902998,0.0,0.0,0.0
2023-01-01 12:00:00,4.573,4.573,4.519,4.525,262214.3,2023-01-01,0,-0.010496391865296273,-0.0,0.0,0.9975749559082893,0.0,0.0,0.0
2023-01-01 16:00:00,4.526,4.544,4.465,4.517,221271.5,2023-01-01,0,-0.0017679558011050034,-0.0,0.0,0.9958112874779541,0.0,0.0,0.0
2023-01-01 20:00:00,4.519,4.614,4.519,4.581,195712.3,2023-01-01,0,0.01416869603719273,0.0,0.0,1.0099206349206349,0.0,0.0,0.0
2023-01-02 00:00:00,4.581,4.6,4.499,4.596,273463.0,2023-01-02,0,0.0032743942370661028,0.0,0.0,1.0132275132275133,0.0,0.0,0.0
2023-01-02 04:00:00,4.595,4.658,4.552,4.597,483246.8,2023-01-02,0,0.00021758050478681845,0.0,0.0,1.0134479717813052,0.0,0.0,0.0
2023-01-02 08:00:00,4.597,4.675,4.597,4.628,326043.1,2023-01-02,0,0.006743528388079012,0.0,0.0,1.0202821869488534,0.0,0.0,0.0
2023-01-02 12:00:00,4.625,4.664,4.608,4.624,219920.3,2023-01-02,0,-0.0008643042350908736,-0.0,0.0,1.0194003527336857,0.0,0.0,0.0
2023-01-02 16:00:00,4.625,4.67,4.609,4.662,185783.5,2023-01-02,0,0.008217993079584929,0.0,0.0,1.0277777777777775,0.0,0.0,0.0
2023-01-02 20:00:00,4.661,4.712,4.641,4.678,196513.4,2023-01-02,0,0.00343200343200345,0.0,0.0,1.0313051146384478,0.0,0.0,0.0
2023-01-03 00:00:00,4.677,4.717,4.626,4.712,251869.5,2023-01-03,0,0.007268063274903813,0.0,0.0,1.038800705467372,0.0,0.0,0.0
2023-01-03 04:00:00,4.712,4.783,4.685,4.761,254298.3,2023-01-03,0,0.010398981324278411,0.0,0.0,1.0496031746031744,0.0,0.0,0.0
